,0,1,2,3,4,5,6,7,8,9,10,11
assignment3/data/midi/bach/organ/catech3.mid,0.126,0.0,0.152,0.089,0.013,0.089,0.035,0.214,0.006,0.123,0.134,0.019
assignment3/data/midi/bach/organ/catech4.mid,0.143,0.006,0.158,0.081,0.028,0.102,0.029,0.182,0.02,0.093,0.133,0.024
assignment3/data/midi/bach/organ/catech5.mid,0.147,0.001,0.169,0.118,0.013,0.077,0.032,0.177,0.011,0.095,0.129,0.031
assignment3/data/midi/bach/organ/catech6.mid,0.141,0.0,0.148,0.085,0.016,0.093,0.022,0.217,0.02,0.088,0.144,0.028
assignment3/data/midi/bach/organ/catech7.mid,0.189,0.0,0.177,0.088,0.007,0.034,0.036,0.205,0.011,0.101,0.112,0.041
assignment3/data/midi/bach/organ/catech8.mid,0.181,0.002,0.162,0.1,0.01,0.06,0.02,0.214,0.012,0.082,0.117,0.04
assignment3/data/midi/bach/organ/catech9.mid,0.199,0.0,0.197,0.092,0.006,0.053,0.019,0.19,0.009,0.087,0.121,0.027
assignment3/data/midi/bach/organ/catechor.mid,0.143,0.002,0.179,0.067,0.015,0.113,0.027,0.19,0.01,0.079,0.144,0.03
assignment3/data/midi/bach/organ/orgel19.mid,0.117,0.007,0.086,0.022,0.281,0.041,0.058,0.08,0.049,0.15,0.005,0.104
assignment3/data/midi/bach/organ/passac.mid,0.187,0.007,0.116,0.129,0.01,0.126,0.009,0.2,0.081,0.026,0.051,0.058
assignment3/data/midi/bach/organ/prefug1.mid,0.179,0.003,0.146,0.0,0.145,0.054,0.041,0.162,0.029,0.12,0.001,0.12
assignment3/data/midi/bach/organ/prefug2.mid,0.084,0.044,0.178,0.006,0.129,0.128,0.009,0.111,0.009,0.217,0.05,0.035
assignment3/data/midi/bach/organ/prefug3.mid,0.048,0.065,0.094,0.03,0.174,0.005,0.127,0.105,0.02,0.124,0.023,0.187
assignment3/data/midi/bach/organ/prefug4.mid,0.188,0.005,0.1,0.012,0.09,0.18,0.01,0.139,0.004,0.14,0.111,0.022
assignment3/data/midi/bach/organ/prefug5.mid,0.092,0.017,0.193,0.005,0.103,0.01,0.103,0.204,0.002,0.133,0.0,0.138
assignment3/data/midi/bach/organ/prefug6.mid,0.115,0.011,0.199,0.058,0.017,0.103,0.028,0.196,0.004,0.114,0.137,0.017
assignment3/data/midi/bach/organ/prefug7.mid,0.097,0.016,0.096,0.018,0.222,0.055,0.039,0.075,0.036,0.198,0.003,0.146
